25 20
map.txt
#############
#...........#    ########
#...s...s...######......#
#...........D...........#
#...F.......######......#
#.....s.....#    #......#
#.....W.....#    #......#
#...W.......#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##DD##
  ###DD####      #......#
  #..@....#      #......#
  #.K.....#      #......#
  #.......#      #......#
  #.......#      #...o..#
  #.......#      #......#
  #.......#      #......#
  #########       ######
