25 20
#############
#...........#    ########
#...s...s...######......#
#.......................#
#...F.......######......#
#.....s.....#    #......#
#.....W.....#    #......#
#...W.......#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ######
